,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
4,711600.0,593600.0,631175.0,648375.0,752200.0,742000.0,751250.0,711750.0,674500.0,712750.0,691250.0,750500.0
5,325000.0,,331538.4615,349088.2353,344525.0,335700.0,327675.0,337875.0,341250.0,346500.0,353500.0,343500.0
10,,,280000.0,300588.2353,294750.0,299500.0,294500.0,287250.0,285500.0,287800.0,292200.0,294750.0
14,412750.0,,385384.6154,360294.1176,398250.0,433150.0,452750.0,422700.0,414900.0,385500.0,396000.0,437400.0
18,,,575000.0,567352.9412,627950.0,675800.0,674500.0,,829550.0,,,665000.0
40,472205.8824,437625.0,425500.0,438050.0,458450.0,507750.0,483500.0,441350.0,441800.0,476600.0,,490384.6154
44,708235.2941,653000.0,,807692.3077,838235.2941,816100.0,822400.0,783500.0,709650.0,798350.0,789500.0,736500.0
47,,,,,,525000.0,,481923.0769,,458230.7692,,
48,,,,,,,,,,,,
52,335000.0,330500.0,331850.0,348650.0,353000.0,354750.0,363000.0,361125.0,370125.0,360750.0,371650.0,377100.0
59,379500.0,361750.0,368225.0,384275.0,420800.0,431850.0,420350.0,431250.0,405750.0,403750.0,432250.0,441750.0
60,,,,365000.0,394411.7647,332500.0,344250.0,362475.0,404950.0,402575.0,,290000.0
65,,,,,,,,,,,,
69,362250.0,389500.0,393250.0,377000.0,386250.0,388250.0,388000.0,392500.0,400250.0,399250.0,398500.0,391400.0
75,500150.0,548350.0,572500.0,561000.0,593550.0,593950.0,606500.0,597250.0,602500.0,604875.0,598750.0,608125.0
76,499750.0,463250.0,442500.0,482750.0,477250.0,482575.0,498425.0,495150.0,465850.0,473500.0,478750.0,489400.0
82,,320000.0,311176.4706,314750.0,330250.0,343750.0,363750.0,350150.0,352350.0,350500.0,,338461.5385
90,394700.0,376350.0,385750.0,406500.0,417750.0,422500.0,428250.0,420300.0,416950.0,424950.0,444800.0,442250.0
91,,,360000.0,368823.5294,341250.0,,322000.0,,365000.0,364058.8235,353300.0,364000.0
94,370350.0,409150.0,412000.0,401500.0,424000.0,456725.0,473725.0,463150.0,443900.0,378000.0,384000.0,430750.0
101,,,,,,,,,,,,
118,,952950.0,827150.0,788750.0,793175.0,850075.0,799950.0,824000.0,912800.0,929100.0,862150.0,843100.0
144,,,,,,,,,,,,
150,496000.0,483875.0,498125.0,521500.0,527750.0,539000.0,557250.0,572700.0,573800.0,550250.0,515125.0,520625.0
156,405200.0,397550.0,407000.0,421000.0,427750.0,435000.0,438250.0,462825.0,473525.0,472400.0,449525.0,440475.0
165,603750.0,556275.0,586850.0,636650.0,647850.0,640250.0,650000.0,664250.0,675125.0,668875.0,666000.0,669600.0
168,,,,,559000.0,553705.8824,596350.0,,595769.2308,,,
170,,,,,,566000.0,,,,,,775000.0
173,,,,,,,,,,,,
174,,1055000.0,911176.4706,966925.0,1101575.0,1236250.0,1176750.0,1232100.0,1081250.0,1017400.0,999050.0,973450.0
175,718250.0,729250.0,718300.0,729450.0,764100.0,705400.0,688000.0,687250.0,723400.0,719500.0,648600.0,630900.0
176,501500.0,512500.0,498250.0,489900.0,499800.0,495800.0,477000.0,481250.0,489750.0,490000.0,490500.0,483800.0
181,,,,370000.0,,381538.4615,351176.4706,388375.0,390325.0,415300.0,,423461.5385
201,894550.0,,,836538.4615,711764.7059,,1057000.0,1070000.0,1111500.0,,,1425000.0
202,414500.0,402950.0,403550.0,414850.0,419100.0,437350.0,439300.0,448000.0,442000.0,439500.0,466050.0,463950.0
205,938150.0,,920000.0,938882.3529,982950.0,1052400.0,1187150.0,1211200.0,1196500.0,1199000.0,,1158461.5385
214,402500.0,372975.0,402275.0,414000.0,401250.0,344750.0,366650.0,375850.0,402750.0,406750.0,359200.0,370425.0
216,,,388000.0,,,,,,485500.0,,,430000.0
218,,,,,,,,,,260000.0,,267692.3077
224,494450.0,504550.0,480250.0,467000.0,542250.0,556750.0,675900.0,610350.0,654100.0,636100.0,774025.0,697775.0
225,492450.0,467175.0,481375.0,491250.0,477700.0,499050.0,596500.0,568900.0,,442000.0,501750.0,494750.0
233,,,,,640000.0,,461600.0,421400.0,,383076.9231,,401153.8462
239,389000.0,,,390000.0,395294.1176,,372846.1538,,399615.3846,,,
241,,,,,,,975000.0,857352.9412,785000.0,733500.0,824750.0,910250.0
261,,,,875000.0,857941.1765,886600.0,878375.0,879025.0,887175.0,803325.0,803875.0,883025.0
264,,,,,355000.0,,447307.6923,507352.9412,448750.0,,,360000.0
265,,929325.0,907750.0,891750.0,949500.0,951000.0,1016600.0,898650.0,979250.0,1099350.0,1060150.0,
267,,,789000.0,827823.5294,882600.0,847000.0,849775.0,836975.0,825650.0,803850.0,,875076.9231
273,594125.0,561800.0,566475.0,558850.0,569500.0,568750.0,575275.0,581725.0,572625.0,566875.0,601425.0,623475.0
277,,,,,,,,,,,,
278,,,,,,,,,,,,
288,1149065.0,,1606225.0,1509900.0,1373350.0,1525250.0,1547750.0,1457800.0,1511200.0,1588750.0,1795000.0,1574050.0
294,,615000.0,605588.2353,669400.0,,708076.9231,,,,,,795000.0
305,,,,,,,,,,,,
307,,,500000.0,617647.0588,601500.0,614550.0,,563461.5385,556764.7059,622500.0,620850.0,589600.0
313,,,1911384.6154,1727500.0,1638925.0,,1121050.0,1291750.0,1077500.0,1009250.0,,1513000.0
317,1032800.0,1228025.0,1240775.0,1244885.0,1225665.0,1236250.0,1167750.0,1241750.0,1134525.0,1126225.0,1192500.0,1108000.0
329,,544230.7692,555441.1765,555375.0,571250.0,574750.0,606500.0,583500.0,572250.0,561650.0,555850.0,583650.0
339,,,,,,,,,,,,
340,,437692.3077,451764.7059,459500.0,454250.0,460500.0,464250.0,463600.0,465900.0,455500.0,453400.0,456850.0
345,,,,,,,,,,,,
350,,,,,,,,,,,,
361,,,,,635000.0,637941.1765,,686538.4615,,700884.6154,,661769.2308
363,,,,,,,,,,,,
371,,,,828000.0,,1506461.5385,1442941.1765,1368600.0,,,,
376,,,,,,,,,,,,
418,,,,,,,,,,,,
421,,,670923.0769,598823.5294,,632153.8462,,,,,,
445,,,,,959000.0,,,870000.0,,,,
446,,536038.4615,568117.6471,561350.0,529250.0,530800.0,521500.0,568200.0,536250.0,515900.0,479600.0,
457,,2612307.6923,2490764.7059,2229100.0,2412850.0,2220150.0,2257500.0,2016250.0,2133750.0,2619425.0,,3155153.8462
466,,460000.0,,,565000.0,562058.8235,,533076.9231,,,,430000.0
468,,,,,415000.0,,,,,,,
473,,452500.0,,448269.2308,,437769.2308,482647.0588,503350.0,497650.0,477750.0,479250.0,483900.0
477,607500.0,,761730.7692,747411.7647,,639615.3846,667058.8235,670500.0,677750.0,678250.0,,
512,,,,,,,,598000.0,,507230.7692,,
518,,,,,,432000.0,424941.1765,,428846.1538,,,450000.0
529,,,,,,,,,,,,
539,,,,,,,,,,,,
548,539000.0,,547461.5385,550000.0,562500.0,571250.0,548750.0,541625.0,561625.0,576500.0,573250.0,567250.0
559,,,,,,,634000.0,,627076.9231,,,635000.0
574,,,,675000.0,,709615.3846,752352.9412,765250.0,781450.0,782800.0,,672538.4615
578,,,699000.0,,,,,,648500.0,678794.1176,,
608,,,,,,,,,,,,
670,,,,,,,,,,,,
709,,,,,,,,,,,,
739,,,,,,,,,,,,
743,,1150000.0,,,544750.0,580500.0,,,641153.8462,652058.8235,648225.0,652775.0
782,,,292500.0,299852.9412,301875.0,326625.0,323875.0,342700.0,,,331000.0,322176.4706
783,,,,,,,,,,,,
795,,1660000.0,1564764.7059,1630700.0,,1474076.9231,1538235.2941,1464750.0,1673000.0,1842250.0,,
797,,,,,,,,,,,,
808,,,,,,,,,,,,
838,,,,,,,,,,,,
857,,,,560000.0,,569230.7692,529647.0588,565800.0,,579230.7692,,558461.5385
885,,,,,510000.0,502352.9412,,514692.3077,496470.5882,503500.0,,
904,,,,,,,,,,578000.0,,
925,,,,,,,,,,,,
935,,,,,,,,,610000.0,,,
959,,,295500.0,316970.5882,300525.0,280300.0,,291923.0769,267647.0588,275750.0,263250.0,276500.0
964,,,,843500.0,817911.7647,831525.0,,,,,,
983,,,,,,,,,,,,
1033,,,,,,,,,,,,
1036,,,,,,,,,,,,
1042,,,,,,,,,,,,
1065,,,,,,,,,,,,
1104,,,,,,,,,,,,
1120,,,,,,,,,,,,
1125,,,,,,,630000.0,604705.8824,,,,
1159,,,,,,,,,,,,
1164,,,,,,,,,,,,
1182,,,,,,,,,,,,
1216,,,,,,,,,,,,
1276,,,,,,,,,,,,
1281,,,,,,752000.0,,,,,,
1309,,,,,,,,,,1450000.0,,
1318,,,,,,,,,,,,
1359,,,,,,,,,,,,
1389,,,,,,,,,,,,
1392,,,,,,875000.0,,,,,,
1487,,,,,,,,,,,,
1488,,,,,,,,,,,,
1501,,,,,,,,,,,,
1502,,,2900000.0,,,,,,,,,
1514,,,,930000.0,1080000.0,988000.0,1081375.0,1037625.0,,,,978000.0
1552,,,,,,864000.0,,,,,,
1601,,,,,,,,,,,,
1627,,,,,,,,,,,,
1668,,,,,,,,,,,,
1690,,,,,,,,,,,,
1698,,,,,,,,,,,,
1727,,,,,,,,,,,,
1872,,,,,,,,,,,,
1889,,,,,,,,,,,,
2067,,,,,,,,,,,,
2133,,,,,,860000.0,,,,,925000.0,883823.5294
2196,,,,,,,,,,,,
2228,,,,,,,,,,,,
2331,,,,,,,,,,,,
2358,,,,,,,,,,,,
2371,,,,,,,,,,,,
2401,,,,,,,,,,,,
2470,,,,,,,,,,,,
2580,,,,,,,,,,,,
2608,,,,,,,,,,,,
2659,,,,,,,,,,,,
2797,,,,,,,,,,,,
2855,,,,,,,,,,,,
2879,,,,,,,,,,,,
2960,,,,,,,,,,,,
3020,,,,,,,,,,,,
3059,,,,,,,,,,,,
3156,,,,,,,,,,,,
3364,,,,,,,,,,,,
3446,,,,,,,,,,,,
3725,,,,,,,,,,,,
3826,,,,,,,,,,,,
4121,,,,,,,,,,,,
4226,,,,,,,,,,,,
4243,,,,,,,,,,,,
4282,,,,,,,,,,,,
4283,,,,,,,,,,,,
4397,827692.3077,,,,,815000.0,909117.6471,,,,,
4402,461225.0,,446769.2308,441352.9412,468100.0,492375.0,492125.0,477300.0,465200.0,475250.0,502650.0,494600.0
